,size,sparsity,min,max,start,end,hardware
54,200,0.5,1,100,2024-10-03 03:09:54+00:00,2024-10-03 03:09:54+00:00,1_8
55,200,0.5,1,1000,2024-10-03 03:09:54+00:00,2024-10-03 03:09:54+00:00,1_8
56,200,0.5,1,10000,2024-10-03 03:09:54+00:00,2024-10-03 03:09:54+00:00,1_8
57,200,0.5,10,100,2024-10-03 03:09:55+00:00,2024-10-03 03:09:55+00:00,1_8
58,200,0.5,10,1000,2024-10-03 03:09:55+00:00,2024-10-03 03:09:55+00:00,1_8
59,200,0.5,10,10000,2024-10-03 03:09:55+00:00,2024-10-03 03:09:55+00:00,1_8
60,200,0.5,50,100,2024-10-03 03:09:55+00:00,2024-10-03 03:09:55+00:00,1_8
61,200,0.5,50,1000,2024-10-03 03:09:56+00:00,2024-10-03 03:09:56+00:00,1_8
62,200,0.5,50,10000,2024-10-03 03:09:56+00:00,2024-10-03 03:09:56+00:00,1_8
63,200,0.75,1,100,2024-10-03 03:09:56+00:00,2024-10-03 03:09:56+00:00,1_8
64,200,0.75,1,1000,2024-10-03 03:09:56+00:00,2024-10-03 03:09:56+00:00,1_8
65,200,0.75,1,10000,2024-10-03 03:09:56+00:00,2024-10-03 03:09:57+00:00,1_8
66,200,0.75,10,100,2024-10-03 03:09:57+00:00,2024-10-03 03:09:57+00:00,1_8
67,200,0.75,10,1000,2024-10-03 03:09:57+00:00,2024-10-03 03:09:57+00:00,1_8
68,200,0.75,10,10000,2024-10-03 03:09:57+00:00,2024-10-03 03:09:57+00:00,1_8
69,200,0.75,50,100,2024-10-03 03:09:57+00:00,2024-10-03 03:09:57+00:00,1_8
70,200,0.75,50,1000,2024-10-03 03:09:58+00:00,2024-10-03 03:09:58+00:00,1_8
71,200,0.75,50,10000,2024-10-03 03:09:58+00:00,2024-10-03 03:09:58+00:00,1_8
72,300,0.0,1,100,2024-10-03 03:09:58+00:00,2024-10-03 03:09:58+00:00,1_8
73,300,0.0,1,1000,2024-10-03 03:09:58+00:00,2024-10-03 03:09:59+00:00,1_8
74,300,0.0,1,10000,2024-10-03 03:09:59+00:00,2024-10-03 03:09:59+00:00,1_8
75,300,0.0,10,100,2024-10-03 03:09:59+00:00,2024-10-03 03:09:59+00:00,1_8
76,300,0.0,10,1000,2024-10-03 03:09:59+00:00,2024-10-03 03:09:59+00:00,1_8
77,300,0.0,10,10000,2024-10-03 03:09:59+00:00,2024-10-03 03:09:59+00:00,1_8
78,300,0.0,50,100,2024-10-03 03:10:00+00:00,2024-10-03 03:10:00+00:00,1_8
79,300,0.0,50,1000,2024-10-03 03:10:00+00:00,2024-10-03 03:10:00+00:00,1_8
80,300,0.0,50,10000,2024-10-03 03:10:00+00:00,2024-10-03 03:10:00+00:00,1_8
81,300,0.25,1,100,2024-10-03 03:10:00+00:00,2024-10-03 03:10:00+00:00,1_8
