canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.4,11016104.0,18801,0.6,1,90.0,8.0,18de167b-849f-4d56-a28c-7842b0aa8237,1854216.0,31360.0,54186.86139527519,25192267775.0,88996.06942188184,178074.025774331,785966982.5032704,1849405385.2652297,68.0,2_16
0.2,11121868.0,18801,0.2,1,90.0,8.0,19817271-3fbf-44c5-92a2-dc943fb817f3,1854216.0,44429.0,81710.77612848868,25580838911.0,93750.05877632352,248787.54774990195,658489335.2420163,1319016210.5245025,35.0,2_16
0.2,11121492.0,18801,0.2,1,90.0,1.0,c8042d84-6d50-400b-b252-5d2dceaa60dd,1854216.0,56050.0,96976.00661708855,25580838911.0,105051.0105506194,264577.7569430787,789680250.7407355,1320254506.8658984,33.0,2_16
0.2,11126516.0,18801,0.6,1,90.0,8.0,04e93645-9f0a-43b8-8c75-dfe05361b8ad,1854216.0,33374.0,59576.00728437788,26393694207.0,82081.74381237326,160418.45820841598,611321500.6843331,1206969918.087751,53.0,2_16
0.2,11127388.0,18801,0.6,1,90.0,1.0,db0e6eb4-75a8-430d-866d-c58b470a5167,1854216.0,48696.0,78546.17510326687,26393694207.0,98116.38429883785,180766.02017743472,778929356.7928262,1209195866.0471876,47.0,2_16
0.4,11103232.0,18801,0.2,1,90.0,8.0,cf278a42-1117-4870-8c84-3cee422a11f0,1854216.0,41582.0,76004.3555968451,26319527935.0,83320.56195773385,180589.4049974967,695856142.4171218,1271217525.0016222,56.0,2_16
0.4,11101012.0,18801,0.2,1,90.0,1.0,c689fc9c-6b64-4e9b-9209-5741420174d8,1854216.0,45892.0,83912.34982503578,26319527935.0,91341.81056508468,191873.80017239408,787808034.3068674,1272335951.2209008,56.0,2_16
0.4,11144228.0,18801,0.6,1,90.0,1.0,18a5abdf-253e-419a-830b-71f27e22ba03,1854216.0,43884.0,72508.8609941708,26387591167.0,71105.6429771606,121685.27300296856,776055425.7212068,663473755.5211961,8.0,2_16
0.4,11130512.0,18801,0.6,1,90.0,8.0,63b38064-ed37-4762-a51a-5580aa71e5f3,1854216.0,32110.0,57102.55868404787,26387591167.0,60963.51573092804,109489.9970447604,622242224.255934,661488591.8926299,12.0,2_16
0.2,11089140.0,18801,0.2,1,90.0,8.0,87652ae3-64d3-42a8-af0b-54778d50bd04,1854216.0,49019.0,90928.5536155481,26095730687.0,67074.2726903503,177621.1269195858,681067861.0652673,1309754978.6993015,26.0,2_16
